task_id,action,action_name,success,delay_s,energy_j,deadline_window_s,deadline_tightness,cpu_cycles,data_size_kb,priority,queue_delay_s
209,0,local,False,0.65972823,0.065972823,0.32076231969404034,2.056751025585807,659728230,646,3,0.0
209,1,edge_25,False,0.5153802365,0.05153503009703561,0.32076231969404034,1.606735594728197,659728230,646,3,0.0
209,2,edge_50,False,0.350448179,0.03711900273496224,0.32076231969404034,1.0925478383317455,659728230,646,3,0.0
209,3,edge_75,True,0.2806508780770633,0.02282756966353163,0.32076231969404034,0.8749496460331206,659728230,646,3,0.0
209,4,edge_100,False,0.35367880154276204,0.008305132071380998,0.32076231969404034,1.1026195404750756,659728230,646,3,0.0
209,5,cloud,False,0.49825377253042447,0.008154063265212268,0.32076231969404034,1.5533425902571245,659728230,646,3,0.0
210,0,local,False,1.149086574,0.11490865739999999,0.6823102144844597,1.6841116395541982,1149086574,2271,3,0.0
210,1,edge_25,False,0.8918149305,0.0910661572861239,0.6823102144844597,1.307052000055192,1149086574,2271,3,0.0
210,2,edge_50,True,0.604543287,0.0675676014451303,0.6823102144844597,0.8860240901666424,1149086574,2271,3,0.0
210,3,edge_75,True,0.4909440266096088,0.043745445029804396,0.6823102144844597,0.7195319902700804,1149086574,2271,3,0.0
210,4,edge_100,True,0.6242448798227886,0.01960079641139434,0.6823102144844597,0.9148989221778775,1149086574,2271,3,0.0
210,5,cloud,True,0.6194167207657171,0.019799702982858543,0.6823102144844597,0.9078227287477094,1149086574,2271,3,0.0
211,0,local,False,0.719359764,0.07193597639999999,0.5809036571008619,1.238346075475125,719359764,1329,1,0.0
211,1,edge_25,False,0.5889588815361241,0.05616837129517708,0.5809036571008619,1.013866713243748,719359764,1329,1,0.0
211,2,edge_50,True,0.409118940536124,0.040493098323359206,0.5809036571008619,0.7042801943749667,719359764,1329,1,0.0
211,3,edge_75,True,0.33241194174069,0.02459047995228298,0.5809036571008619,0.5722324824045195,719359764,1329,1,0.0
211,4,edge_100,True,0.39463106639193235,0.008823756952144463,0.5809036571008619,0.6793399586455225,719359764,1329,1,0.0
211,5,cloud,True,0.5118560258456547,0.00899203652282736,0.5809036571008619,0.8811375511047636,719359764,1329,1,0.0
212,0,local,True,0.04,0.003999999999999999,0.11999999999534339,0.33333333334626836,40000000,106,0,0.0
212,1,edge_25,True,0.041736704,0.003264505024146342,0.11999999999534339,0.34780586668016333,40000000,106,0,0.0
212,2,edge_50,True,0.031736704000000004,0.0025285706546121756,0.11999999999534339,0.26447253334359627,40000000,106,0,0.0
212,3,edge_75,True,0.028323335402988953,0.0017933157014944758,0.11999999999534339,0.236027795034067,40000000,106,0,0.0
212,4,edge_100,True,0.026222107673697276,0.0010571306368486382,0.11999999999534339,0.2185175639559569,40000000,106,0,0.0
212,5,cloud,False,0.36006003139340936,0.0010300156967046957,0.11999999999534339,3.0005002617281793,40000000,106,0,0.0
213,0,local,True,0.04,0.003999999999999999,0.11999999999534339,0.33333333334626836,40000000,70,0,0.0
213,1,edge_25,True,0.04114688,0.0031859939360248694,0.11999999999534339,0.34289066667997253,40000000,70,0,0.0
213,2,edge_50,True,0.031146880000000002,0.002360346621341981,0.11999999999534339,0.25955733334340547,40000000,70,0,0.0
213,3,edge_75,True,0.02725534458495848,0.0015542322924792383,0.11999999999534339,0.22712787155013436,40000000,70,0,0.0
213,4,edge_100,True,0.02537982658826362,0.0007392092941318098,0.11999999999534339,0.21149855491040406,40000000,70,0,0.0
213,5,cloud,False,0.35945833583906306,0.0007291679195315246,0.11999999999534339,2.9954861321084323,40000000,70,0,0.0
214,0,local,False,1.547268264,0.1547268264,0.6435487876879051,2.404275003856214,1547268264,2271,3,0.0
214,1,edge_25,False,1.190451198,0.12258326454530058,0.6435487876879051,1.8498227652280503,1547268264,2271,3,0.0
214,2,edge_50,False,0.803634132,0.09007567885554699,0.6435487876879051,1.2487540142639966,1547268264,2271,3,0.0
214,3,edge_75,False,0.648045143738098,0.05759147896904897,0.6435487876879051,1.0069868145760121,1547268264,2271,3,0.0
214,4,edge_100,False,0.8366651264747069,0.02626549723735352,0.6435487876879051,1.3000803396438925,1547268264,2271,3,0.0
214,5,cloud,False,0.7109233534495606,0.025734850324780328,0.6435487876879051,1.1046922425317804,1547268264,2271,3,0.0
215,0,local,True,0.057051497,0.0057051496999999994,0.11999999999534339,0.47542914168511574,57051497,106,0,0.0
215,1,edge_25,True,0.05452532675,0.004613466612850554,0.11999999999534339,0.45437772293429884,57051497,106,0,0.0
215,2,edge_50,True,0.040262452500000004,0.003523234167297974,0.11999999999534339,0.33552043751301996,57051497,106,0,0.0
215,3,edge_75,True,0.03520003959032463,0.002460799532662315,0.11999999999534339,0.2933336632640881,57051497,106,0,0.0
215,4,edge_100,True,0.03538684187678877,0.0013766234883943829,0.11999999999534339,0.29489034898468297,57051497,106,0,0.0
215,5,cloud,False,0.3640987112193529,0.0013442059096764698,0.11999999999534339,3.0341559269456817,57051497,106,0,0.0
216,0,local,False,1.223274507,0.12232745069999999,0.6377854860620573,1.918003049196033,1223274507,2271,3,0.0
216,1,edge_25,False,0.94745588025,0.09753864127537626,0.6377854860620573,1.4855400459172747,1223274507,2271,3,0.0
216,2,edge_50,False,0.6416372535,0.07252748711617078,0.6377854860620573,1.0060392836182666,1223274507,2271,3,0.0
216,3,edge_75,True,0.5226356124228795,0.04753569882393973,0.6377854860620573,0.8194535997516043,1223274507,2271,3,0.0
216,4,edge_100,False,0.6675910661883182,0.022726906344159154,0.6377854860620573,1.0467329231812603,1223274507,2271,3,0.0
216,5,cloud,False,0.6405966508305505,0.022970874715275272,0.6377854860620573,1.0044076963648867,1223274507,2271,3,0.0
217,0,local,False,0.597466489,0.0597466489,0.29050386196468025,2.0566559251891823,597466489,646,3,0.0
217,1,edge_25,False,0.488122989286124,0.045883381520321856,0.29050386196468025,1.6802633396504398,597466489,646,3,0.0
